Aangeboden sinds,Verkoopdatum,Laatste vraagprijs,Status,Soort bouw,Aantal kamers,Energielabel,Overige inpandige ruimte m2,Perceel m2,Achtertuin m2,Aantal dagen tot verkoop,Vraagprijs per m2,Woonruimte in m2,Gebouwgebonden buitenruimte in m2,Externe bergruimte in m2,Inhoud in m3,Aantal slaapkamers,Bathrooms,Toilets,Woonlagen,Zolder,Kelder,Voorzieningen_Mechanischeventilatie,Voorzieningen_Tvkabel,Voorzieningen_Zonnepanelen,Voorzieningen_Elektra,Voorzieningen_Glasvezelkabel,Voorzieningen_Domotica,Voorzieningen_Natuurlijkeventilatie,Voorzieningen_Zwembad,Voorzieningen_Schuifpui,Voorzieningen_Lift,Voorzieningen_Balansventilatie,Voorzieningen_Buitenzonwering,Voorzieningen_Dakraam,Voorzieningen_Verwarming,Voorzieningen_Stromendwater,Voorzieningen_Elektrischedeur,Voorzieningen_Vliering,Voorzieningen_Rookkanaal,Voorzieningen_Airconditioning,Voorzieningen_Rolluiken,Voorzieningen_Alarminstallatie,Voorzieningen_Jacuzzi,Voorzieningen_Sauna,Voorzieningen_Zonnecollectoren,Voorzieningen_Satellietschotel,Voorzieningen_cctv,Isolatie_Vollediggeïsoleerd,Isolatie_Geenspouw,Isolatie_Dakisolatie,Isolatie_Dubbelglas,Isolatie_Muurisolatie,Isolatie_Vloerisolatie,Isolatie_Hr-glas,Isolatie_Driedubbelglas,Isolatie_Geenisolatie,Isolatie_Eco-bouw,Isolatie_Kierdichting,Isolatie_Gedeeltelijkdubbel glas,Isolatie_Voorzetramen,Isolatie_Grotendeelsdubbelglas,Verwarming_Gedeeltelijkevloerverwarming,Verwarming_Warmtepomp,Verwarming_Gehelevloerverwarming,Verwarming_Warmteterugwininstallatie,Verwarming_Aardwarmte,Verwarming_Stadsverwarming,Verwarming_Elektrischeverwarming,Verwarming_Blokverwarming,Verwarming_Heteluchtverwarming,Verwarming_Gashaard,Verwarming_Openhaard,Verwarming_Pelletburner,Verwarming_Houtkachel,Verwarming_Allesbrander,Verwarming_Gaskachels,Verwarming_Mogelijkheidvoor open haard,Verwarming_Moederhaard,Verwarming_Geenverwarming,Verwarming_Kolenkachel,Verwarming_Muurverwarming,Balkon/dakterras_Balkonaanwezig,Balkon/dakterras_Fransbalkon aanwezig,Balkon/dakterras_Dakterrasaanwezig,Schuur/berging_Vrijstaandehouten berging,Schuur/berging_Aangebouwdehouten berging,Schuur/berging_Inpandig,Schuur/berging_Vrijstaandestenen berging,Schuur/berging_Box,Schuur/berging_Aangebouwdestenen berging,Schuur/berging_Vrijstaandkunststof,Tuin_Achtertuin,Tuin_Voortuin,Tuin_Zijtuin,Tuin_Tuinrondom,Tuin_Zonneterras,Tuin_Plaats,Tuin_Patio/atrium,Soort garage_Aangebouwdehouten garage,Soort garage_Parkeerplaats,Soort garage_Inpandig,Soort garage_Parkeerkelder,Soort garage_Garagebox,Soort garage_Aangebouwdestenen garage,Soort garage_Carport,Soort garage_Vrijstaandestenen garage,Soort garage_Vrijstaandehouten garage,Soort garage_Garagemet carport,Soort garage_Souterrain,Soort dak,Soort woonhuis
2023-07-07,2023-07-18,269005,Verkocht,Bestaande bouw,5,B,0,197,37,11 days,2023,133,18,9,476,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met bitumineuze dakbedekking en pannen,"Eengezinswoning, tussenwoning"
2023-07-06,2023-07-17,325000,Verkocht,Bestaande bouw,5,C,0,496,72,11 days,2481,131,0,22,469,4,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, tussenwoning"
2023-07-06,2023-07-21,439000,Verkocht,Bestaande bouw,5,C,0,363,120,15 days,3658,120,0,25,431,4,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, hoekwoning"
2023-07-07,2023-07-26,200000,Verkocht,Bestaande bouw,2,C,0,59,0,19 days,3390,59,5,3,204,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak bedekt met bitumineuze dakbedekking,"Eengezinswoning, tussenwoning (hofjeswoning)"
2023-07-06,2023-07-19,390000,Verkocht,Bestaande bouw,5,B,18,170,73,13 days,3250,120,0,6,471,4,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, eindwoning"
2023-07-07,2023-07-18,1375000,Verkocht,Bestaande bouw,4,B,39,1750,1445,11 days,8283,166,56,83,662,3,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Zadeldak bedekt met pannen,"Villa, vrijstaande woning"
2023-07-06,2023-07-17,259500,Verkocht,Bestaande bouw,3,C,0,66,0,11 days,3932,66,4,7,202,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak,"Eengezinswoning, tussenwoning (hofjeswoning)"
2023-07-06,2023-07-21,175000,Verkocht,Bestaande bouw,1,E,0,31,0,15 days,5645,31,0,0,118,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak bedekt met bitumineuze dakbedekking,"Eengezinswoning, tussenwoning (hofjeswoning)"
2023-07-06,2023-07-28,195000,Verkocht,Bestaande bouw,5,A,8,135,48,22 days,1990,98,5,3,381,4,1,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dwarskap bedekt met pannen,"Eengezinswoning, tussenwoning"
2023-07-07,2023-07-18,395000,Verkocht,Bestaande bouw,4,F,7,298,132,11 days,3835,103,0,17,433,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,"Eengezinswoning, 2-onder-1-kapwoning"
